startTime,endTime,day_night_max_duration,day_night_avg_duration,day_max_duration,day_avg_duration,night_max_duration,night_avg_duration,day_trip_count,night_trip_count,all_trip_count,Motion-Toilet,Motion-Sink,Motion-Area,Wake-Up-Hr,Wake-Up-Minute,Sleep-Hr,Sleep-Minute,Date,UTILabel
2017-11-08 00:52:24.448019,2017-11-08 22:04:19.425600,2.333333333333333,2.075,2.333333333333333,2.075,,,2,0,2,5,20,26,8,15,21,28,2017-11-08,0
2017-11-09 01:16:19.482095,2017-11-09 21:34:39.063682,3.5,1.8722222222222225,3.5,1.8722222222222225,,,9,0,9,25,26,58,7,34,20,52,2017-11-09,0
2017-11-10 01:23:45.452508,2017-11-10 20:04:39.126377,10.416666666666666,3.215,10.416666666666666,3.215,,,10,0,10,67,43,141,6,43,21,0,2017-11-10,0
2017-11-11 00:22:24.324779,2017-11-11 22:26:19.389117,27.28333333333333,6.973333333333334,27.28333333333333,6.973333333333334,,,10,0,10,99,113,214,7,11,21,24,2017-11-11,0
2017-11-12 00:25:10.946713,2017-11-12 21:52:49.966401,7.85,3.375,7.85,3.375,,,4,0,4,17,42,73,5,35,21,50,2017-11-12,0
2017-11-13 01:50:33.045418,2017-11-13 22:36:10.359540,12.566666666666666,4.016666666666667,12.566666666666666,4.016666666666667,,,4,0,4,10,27,33,4,29,21,0,2017-11-13,0
2017-11-14 00:22:57.372766,2017-11-14 21:22:04.692219,47.41666666666666,7.274999999999999,47.41666666666666,7.274999999999999,,,8,0,8,16,18,43,5,42,20,56,2017-11-14,0
2017-11-15 01:40:02.858345,2017-11-15 21:07:40.322006,2.216666666666667,0.8777777777777778,2.216666666666667,0.8777777777777778,,,6,0,6,6,21,26,7,10,20,57,2017-11-15,0
2017-11-16 00:03:45.379710,2017-11-16 21:52:51.657835,5.666666666666667,2.236666666666667,5.666666666666667,2.236666666666667,,,5,0,5,15,32,56,6,48,21,37,2017-11-16,0
2017-11-17 00:47:41.751971,2017-11-17 23:08:46.505191,151.81666666666666,15.204166666666666,151.81666666666666,15.204166666666666,,,12,0,12,60,33,137,7,30,21,58,2017-11-17,0
2017-11-18 01:59:13.257786,2017-11-18 23:08:36.339135,3.316666666666667,2.2750000000000004,3.316666666666667,2.2750000000000004,,,2,0,2,8,28,26,7,39,21,55,2017-11-18,0
2017-11-19 00:03:51.780620,2017-11-19 22:15:21.775417,2.7,1.9777777777777776,2.7,1.9777777777777776,,,3,0,3,9,18,28,7,15,21,39,2017-11-19,0
2017-11-20 01:14:52.386197,2017-11-20 23:03:12.343261,17.566666666666666,7.6625,17.566666666666666,7.6625,,,4,0,4,77,62,178,7,6,21,42,2017-11-20,0
2017-11-21 03:37:43.752080,2017-11-21 22:53:28.555979,25.666666666666668,11.033333333333331,25.666666666666668,11.033333333333331,,,4,0,4,89,57,195,7,21,22,30,2017-11-21,0
2017-11-22 02:43:18.815031,2017-11-22 22:41:48.126532,12.45,4.826666666666666,12.45,4.826666666666666,,,5,0,5,60,57,144,7,31,21,53,2017-11-22,0
2017-11-23 01:34:18.630601,2017-11-23 23:49:58.829746,7.983333333333333,3.511111111111111,7.983333333333333,3.511111111111111,,,6,0,6,27,41,81,7,13,21,6,2017-11-23,0
2017-11-24 00:53:25.012790,2017-11-24 21:40:25.654918,5.966666666666667,3.1375,5.966666666666667,3.1375,,,4,0,4,27,32,66,8,23,21,44,2017-11-24,0
2017-11-25 01:31:41.291635,2017-11-25 21:11:09.729629,30.8,9.370833333333334,30.8,9.370833333333334,,,4,0,4,96,76,200,8,3,21,13,2017-11-25,0
2017-11-26 01:21:36.959841,2017-11-26 22:52:00.544363,14.95,4.16,14.95,4.16,,,5,0,5,34,38,63,6,51,22,17,2017-11-26,0
2017-11-27 01:49:01.163117,2017-11-27 21:42:42.858025,12.016666666666667,4.891666666666667,12.016666666666667,4.891666666666667,,,4,0,4,36,62,104,7,13,21,21,2017-11-27,0
2017-11-28 01:09:07.777282,2017-11-28 23:56:23.730734,8.35,2.533333333333333,8.35,2.533333333333333,,,5,0,5,35,27,74,6,16,22,2,2017-11-28,0
2017-11-29 01:29:13.936978,2017-11-29 21:55:05.414674,9.716666666666669,1.9145833333333333,9.716666666666669,1.9145833333333333,,,8,0,8,21,28,67,7,42,21,57,2017-11-29,0
2017-11-30 01:45:09.545454,2017-11-30 21:45:22.058348,14.95,2.6066666666666665,14.95,2.6066666666666665,,,10,0,10,58,54,116,8,7,21,50,2017-11-30,0
2017-12-01 00:10:53.104489,2017-12-01 22:04:32.309369,5.7,4.433333333333334,5.7,4.433333333333334,,,3,0,3,16,34,56,7,14,21,26,2017-12-01,0
2017-12-02 01:24:41.158773,2017-12-02 21:30:30.283088,5.9,3.0625,5.9,3.0625,,,4,0,4,16,37,53,7,57,21,0,2017-12-02,0
2017-12-03 01:49:08.010910,2017-12-03 21:35:06.118386,10.566666666666666,3.363888888888889,10.566666666666666,3.363888888888889,,,6,0,6,40,53,88,7,55,21,39,2017-12-03,0
